symbol	alias_symbol	prev_symbol	name
CDK5R1	"p35nck5a|Nck5a|p35"		cyclin dependent kinase 5 regulatory subunit 1
CDK5R2	"p39nck5ai|P39|NCK5AI"		cyclin dependent kinase 5 regulatory subunit 2
CDK5R2-AS1			CDK5R2 antisense RNA 1
CDK5RAP1	"CGI-05|HSPC167|C42"	C20orf34	CDK5 regulatory subunit associated protein 1
CDK5RAP2	"C48|FLJ10867|CEP215"	MCPH3	CDK5 regulatory subunit associated protein 2
CDK5RAP3	"MST016|FLJ13660|C53|IC53|HSF-27|OK/SW-cl.114|LZAP"		CDK5 regulatory subunit associated protein 3
CDK5RAP3P1			CDK5RAP3 pseudogene 1
CDK6	PLSTIRE		cyclin dependent kinase 6
CDK6-AS1	BALR-2		CDK6 antisense RNA 1
CDK7	"CAK1|CDKN7|MO15|STK1|CAK"		cyclin dependent kinase 7
CDK7P1		CDK7PS	cyclin dependent kinase 7 pseudogene 1
CDK8	K35		cyclin dependent kinase 8
CDK8P1		CDK8PS	cyclin dependent kinase 8 pseudogene 1
CDK8P2			cyclin dependent kinase 8 pseudogene 2
CDK9	"PITALRE|C-2k|TAK"	CDC2L4	cyclin dependent kinase 9
CDK10	PISSLRE		cyclin dependent kinase 10
CDK11A	"PITSLRE|CDK11-p110|CDK11-p58|CDK11-p46|p58GTA"	"CDC2L3|CDC2L2"	cyclin dependent kinase 11A
CDK11B	"CDK11-p110|CDK11-p58|CDK11-p46"	CDC2L1	cyclin dependent kinase 11B
CDK12	"CRK7|CRKR|KIAA0904"	CRKRS	cyclin dependent kinase 12
CDK13	"CHED|CDC2L|KIAA1791"	CDC2L5	cyclin dependent kinase 13
CDK13-DT			CDK13 divergent transcript
CDK14	PFTAIRE1	PFTK1	cyclin dependent kinase 14
CDK15	PFTAIRE2	"ALS2CR7|PFTK2"	cyclin dependent kinase 15
CDK16	"PCTAIRE|PCTAIRE1|PCTGAIRE|FLJ16665"	PCTK1	cyclin dependent kinase 16
CDK17	PCTAIRE2	PCTK2	cyclin dependent kinase 17
CDK18	PCTAIRE3	PCTK3	cyclin dependent kinase 18
CDK19	"KIAA1028|bA346C16.3"	"CDK11|CDC2L6"	cyclin dependent kinase 19
CDK20	"p42|PNQALRE"	CCRK	cyclin dependent kinase 20
CDKAL1	FLJ20342		CDK5 regulatory subunit associated protein 1 like 1
CDKL1	KKIALRE		cyclin dependent kinase like 1
CDKL2	"P56|KKIAMRE"		cyclin dependent kinase like 2
CDKL3	NKIAMRE		cyclin dependent kinase like 3
CDKL4			cyclin dependent kinase like 4
CDKL5	"EIEE2|CFAP247"	STK9	cyclin dependent kinase like 5
CDKN1A	"P21|CIP1|WAF1|SDI1|CAP20|p21CIP1|p21Cip1/Waf1|p21|MDA-6"	CDKN1	cyclin dependent kinase inhibitor 1A
CDKN1A-AS1	p21NAT		CDKN1A antisense RNA 1
CDKN1B	"KIP1|P27KIP1"		cyclin dependent kinase inhibitor 1B
CDKN1C	"P57|KIP2"	"BWCR|BWS"	cyclin dependent kinase inhibitor 1C
CDKN2A	"CDK4I|p16|INK4a|MTS1|CMM2|ARF|p19|p14|INK4|p16INK4a|p19Arf|p14ARF|P16-INK4A|CAI2|P16INK4|TP16"	"CDKN2|MLM"	cyclin dependent kinase inhibitor 2A
CDKN2A-AS1	bA149I2.3	"C9orf53|CDKN2A-DT"	CDKN2A antisense RNA 1
CDKN2AIP	"FLJ20036|CARF"		CDKN2A interacting protein
CDKN2AIPNL	"MGC13017|C2AIL"		CDKN2A interacting protein N-terminal like
CDKN2AIPNLP1			CDKN2A interacting protein N-terminal like pseudogene 1
CDKN2AIPNLP2			CDKN2A interacting protein N-terminal like pseudogene 2
